chnimp,bchlimp,befile6,affile6,afdec6,befile12,affile12,afdec12,chempi,gas,rtwex,spr,sum,fall,lchnimp,lgas,lrtwex,lchempi,t,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,percchn
220.46201,9578.376,0,0,0,0,0,0,100.1,7830000128,86.739998,0,0,0,5.3957253,22.781229,4.4629149,4.6061697,1,1,0,0,0,0,0,0,0,0,0,0,2.3016636
94.797997,11219.48,0,0,0,0,0,0,100.9,8819999744,85.629997,1,0,0,4.5517483,22.900288,4.4500356,4.61413,2,0,1,0,0,0,0,0,0,0,0,0,.84494108
219.3575,9719.9004,0,0,0,0,0,0,101.1,8449999872,85.419998,1,0,0,5.3907027,22.857431,4.4475803,4.6161103,3,0,0,1,0,0,0,0,0,0,0,0,2.2567875
317.42151,12920.95,0,0,0,0,0,0,102.5,9240000512,87.290001,1,0,0,5.7602305,22.946808,4.4692359,4.6298628,4,0,0,0,1,0,0,0,0,0,0,0,2.4566422
114.639,9790.4463,0,0,0,0,0,0,104.1,9150000128,86.599998,0,1,0,4.7417879,22.937019,4.4612999,4.6453519,5,0,0,0,0,1,0,0,0,0,0,0,1.1709272
129.524,11020.47,0,0,0,0,0,0,104.8,9520000000,84.629997,0,1,0,4.8638663,22.97666,4.4382887,4.6520538,6,0,0,0,0,0,1,0,0,0,0,0,1.1753038
110.092,8302.168,0,0,0,0,0,0,104.7,9770000384,82.57,0,1,0,4.7013164,23.002583,4.4136462,4.6510992,7,0,0,0,0,0,0,1,0,0,0,0,1.3260633
39.682999,9583.3252,0,0,0,0,0,0,105.8,9379999744,82.330002,0,0,1,3.6809227,22.961845,4.4107356,4.6615505,8,0,0,0,0,0,0,0,1,0,0,0,.41408381
262.823,9880.7285,0,0,0,0,0,0,106.8,9390000128,79.449997,0,0,1,5.5714808,22.962912,4.3751278,4.670958,9,0,0,0,0,0,0,0,0,1,0,0,2.6599557
173.998,9003.9229,0,0,0,0,0,0,107.7,9610000384,82.239998,0,0,1,5.1590438,22.986071,4.4096417,4.6793494,10,0,0,0,0,0,0,0,0,0,1,0,1.9324688
548.9455,10153.39,0,0,0,0,0,0,107.9,10200000512,81.940002,0,0,0,6.3079991,23.045654,4.4059873,4.6812048,11,0,0,0,0,0,0,0,0,0,0,1,5.4065247
433.97549,10527.06,0,0,0,0,0,0,112.5,9530000384,81.290001,0,0,0,6.072988,22.977711,4.3980231,4.7229533,12,0,0,0,0,0,0,0,0,0,0,0,4.1224761
213.78551,9238.292,0,0,0,0,0,0,113.7,8200000000,82.230003,0,0,0,5.3649731,22.8274,4.4095201,4.7335634,13,1,0,0,0,0,0,0,0,0,0,0,2.3141236
788.64398,11740.39,0,0,0,0,0,0,113,8709999616,82.529999,1,0,0,6.6703148,22.887737,4.4131618,4.7273879,14,0,1,0,0,0,0,0,0,0,0,0,6.7173576
287.03949,13699.07,0,0,0,0,0,0,113.2,8579999744,83.760002,1,0,0,5.6596198,22.8727,4.4279556,4.729156,15,0,0,1,0,0,0,0,0,0,0,0,2.0953209
278.9545,17716.33,0,0,0,0,0,0,114.3,8899999744,85.050003,1,0,0,5.6310487,22.909317,4.4432392,4.7388268,16,0,0,0,1,0,0,0,0,0,0,0,1.5745615
429.897,15868.76,0,0,0,0,0,0,113.2,8880000000,84.779999,0,1,0,6.0635457,22.907068,4.4400597,4.729156,17,0,0,0,0,1,0,0,0,0,0,0,2.7090776
344.88199,15512.32,0,0,0,0,0,0,114.7,9200000000,82.169998,0,1,0,5.8432021,22.942469,4.4087901,4.7423201,18,0,0,0,0,0,1,0,0,0,0,0,2.2232778
538.91498,13831.56,0,0,0,0,0,0,116.1,9050000384,83,0,1,0,6.2895579,22.926031,4.4188404,4.7544518,19,0,0,0,0,0,0,1,0,0,0,0,3.8962705
535.71802,13669.76,0,0,0,0,0,0,115.5,8430000128,82.639999,0,0,1,6.283608,22.855062,4.414494,4.7492704,20,0,0,0,0,0,0,0,1,0,0,0,3.9190009
445.32901,16691.211,0,0,0,0,0,0,115.2,8520000000,83.43,0,0,1,6.0988135,22.865683,4.4240079,4.7466698,21,0,0,0,0,0,0,0,0,1,0,0,2.668045
649.255,16617.33,0,0,0,0,0,0,117.2,8449999872,84.190002,0,0,1,6.4758258,22.857431,4.4330764,4.7638817,22,0,0,0,0,0,0,0,0,0,1,0,3.9070959
639.33502,15912.76,0,0,0,0,0,0,117.7,9120000000,82.839996,0,0,0,6.4604287,22.933735,4.4169111,4.7681389,23,0,0,0,0,0,0,0,0,0,0,1,4.0177507
209.437,9401.2969,0,0,0,0,0,0,118.8,9130000384,82.080002,0,0,0,5.3444228,22.934832,4.4076943,4.7774415,24,0,0,0,0,0,0,0,0,0,0,0,2.2277458
512.59149,9195.3086,0,0,0,0,0,0,118.5,8409999872,83.18,0,0,0,6.2394791,22.852688,4.4210072,4.7749128,25,1,0,0,0,0,0,0,0,0,0,0,5.5744891
605.34253,11727.52,0,0,0,0,0,0,116.4,8550000128,87.580002,1,0,0,6.4057946,22.869198,4.4725528,4.7570324,26,0,1,0,0,0,0,0,0,0,0,0,5.161727
144.23599,20584.26,0,0,0,0,0,0,114,7960000000,88.279999,1,0,0,4.9714508,22.797695,4.4805136,4.7361984,27,0,0,1,0,0,0,0,0,0,0,0,.70071012
405.53601,8929.1465,0,0,0,0,0,0,108.6,8259999744,84.489998,1,0,0,6.0052094,22.83469,4.4366331,4.6876712,28,0,0,0,1,0,0,0,0,0,0,0,4.5417109
621.10748,10912.11,0,0,0,0,0,0,104.1,8320000000,83.339996,0,1,0,6.4315042,22.841928,4.4229288,4.6453519,29,0,0,0,0,1,0,0,0,0,0,0,5.6919098
893.71851,13581.91,0,0,0,0,0,0,103.7,8470000128,82.120003,0,1,0,6.7953911,22.859797,4.4081817,4.6415019,30,0,0,0,0,0,1,0,0,0,0,0,6.5802121
140.23,9218.4092,0,0,0,0,0,0,107.8,8460000256,83.730003,0,1,0,4.943284,22.858616,4.4275975,4.6802778,31,0,0,0,0,0,0,1,0,0,0,0,1.5211952
243.4765,20751.77,0,0,0,0,0,0,112.7,8080000000,83.129997,0,0,1,5.4950204,22.812658,4.4204054,4.7247295,32,0,0,0,0,0,0,0,1,0,0,0,1.1732807
330.57501,12935.29,0,0,0,0,0,0,114,8030000128,84.459999,0,0,1,5.8008337,22.80645,4.4362779,4.7361984,33,0,0,0,0,0,0,0,0,1,0,0,2.5556056
46.585999,26984.199,0,0,0,0,0,0,115.5,8190000128,87.129997,0,0,1,3.8413,22.82618,4.467401,4.7492704,34,0,0,0,0,0,0,0,0,0,1,0,.17264177
215.196,18886.381,0,0,0,0,0,0,119.2,8689999872,89.129997,0,0,0,5.3715491,22.885439,4.4900961,4.7808027,35,0,0,0,0,0,0,0,0,0,0,1,1.1394242
214.8385,25679.51,0,0,0,0,0,0,119.3,8739999744,89.279999,0,0,0,5.3698864,22.891176,4.4917774,4.7816415,36,0,0,0,0,0,0,0,0,0,0,0,.83661449
238.2085,15502.94,0,0,0,0,0,0,119.8,7420000256,93.970001,0,0,0,5.4731464,22.727446,4.5429754,4.7858238,37,1,0,0,0,0,0,0,0,0,0,0,1.5365375
265.65451,18247.141,0,0,0,0,0,0,119.1,8120000000,93.959999,1,0,0,5.5821967,22.817596,4.5428691,4.7799635,38,0,1,0,0,0,0,0,0,0,0,0,1.4558692
315.2515,12060.01,0,0,0,0,0,0,119.8,7740000256,96.160004,1,0,0,5.7533708,22.769667,4.5660133,4.7858238,39,0,0,1,0,0,0,0,0,0,0,0,2.6140234
426.59052,17777.609,0,0,0,0,0,0,120.2,8019999744,100.89,1,0,0,6.0558248,22.805204,4.6140308,4.7891569,40,0,0,0,1,0,0,0,0,0,0,0,2.3995943
124.786,14406.15,0,0,0,0,0,0,119,7889999872,104.34,0,1,0,4.8266001,22.788862,4.6476545,4.7791233,41,0,0,0,0,1,0,0,0,0,0,0,.86619949
387.89899,20570.359,0,0,0,0,0,0,120.7,8409999872,107.63,0,1,0,5.9607449,22.852688,4.6786995,4.7933083,42,0,0,0,0,0,1,0,0,0,0,0,1.8857181
