gfr,pe,year,t,tsq,pe_1,pe_2,pe_3,pe_4,pill,ww2,tcu,cgfr,cpe,cpe_1,cpe_2,cpe_3,cpe_4,gfr_1,cgfr_1,cgfr_2,cgfr_3,cgfr_4,gfr_2
124.7,0,1913,1,1,,,,,0,0,1,,,,,,,,,,,,
126.6,0,1914,2,4,0,,,,0,0,8,1.9000015,0,,,,,124.7,,,,,
125,0,1915,3,9,0,0,,,0,0,27,-1.5999985,0,0,,,,126.6,1.9000015,,,,124.7
123.4,0,1916,4,16,0,0,0,,0,0,64,-1.5999985,0,0,0,,,125,-1.5999985,1.9000015,,,126.6
121,19.27,1917,5,25,0,0,0,0,0,0,125,-2.4000015,19.27,0,0,0,,123.4,-1.5999985,-1.5999985,1.9000015,,125
119.8,23.940001,1918,6,36,19.27,0,0,0,0,0,216,-1.1999969,4.6700001,19.27,0,0,0,121,-2.4000015,-1.5999985,-1.5999985,1.9000015,123.4
111.2,20.07,1919,7,49,23.940001,19.27,0,0,0,0,343,-8.6000061,-3.8700008,4.6700001,19.27,0,0,119.8,-1.1999969,-2.4000015,-1.5999985,-1.5999985,121
117.9,15.33,1920,8,64,20.07,23.940001,19.27,0,0,0,512,6.7000046,-4.7399998,-3.8700008,4.6700001,19.27,0,111.2,-8.6000061,-1.1999969,-2.4000015,-1.5999985,119.8
119.8,34.32,1921,9,81,15.33,20.07,23.940001,19.27,0,0,729,1.9000015,18.99,-4.7399998,-3.8700008,4.6700001,19.27,117.9,6.7000046,-8.6000061,-1.1999969,-2.4000015,111.2
111.2,36.650002,1922,10,100,34.32,15.33,20.07,23.940001,0,0,1000,-8.6000061,2.3300018,18.99,-4.7399998,-3.8700008,4.6700001,119.8,1.9000015,6.7000046,-8.6000061,-1.1999969,117.9
110.5,25.83,1923,11,121,36.650002,34.32,15.33,20.07,0,0,1331,-.69999695,-10.820002,2.3300018,18.99,-4.7399998,-3.8700008,111.2,-8.6000061,1.9000015,6.7000046,-8.6000061,119.8
110.9,27.34,1924,12,144,25.83,36.650002,34.32,15.33,0,0,1728,.40000153,1.5100002,-10.820002,2.3300018,18.99,-4.7399998,110.5,-.69999695,-8.6000061,1.9000015,6.7000046,111.2
106.6,22.85,1925,13,169,27.34,25.83,36.650002,34.32,0,0,2197,-4.3000031,-4.4899998,1.5100002,-10.820002,2.3300018,18.99,110.9,.40000153,-.69999695,-8.6000061,1.9000015,110.5
102.6,21.129999,1926,14,196,22.85,27.34,25.83,36.650002,0,0,2744,-4,-1.7200012,-4.4899998,1.5100002,-10.820002,2.3300018,106.6,-4.3000031,.40000153,-.69999695,-8.6000061,110.9
99.800003,24.610001,1927,15,225,21.129999,22.85,27.34,25.83,0,0,3375,-2.7999954,3.4800014,-1.7200012,-4.4899998,1.5100002,-10.820002,102.6,-4,-4.3000031,.40000153,-.69999695,106.6
93.800003,31.959999,1928,16,256,24.610001,21.129999,22.85,27.34,0,0,4096,-6,7.3499985,3.4800014,-1.7200012,-4.4899998,1.5100002,99.800003,-2.7999954,-4,-4.3000031,.40000153,102.6
89.199997,27.290001,1929,17,289,31.959999,24.610001,21.129999,22.85,0,0,4913,-4.6000061,-4.6699982,7.3499985,3.4800014,-1.7200012,-4.4899998,93.800003,-6,-2.7999954,-4,-4.3000031,99.800003
89.199997,18.4,1930,18,324,27.290001,31.959999,24.610001,21.129999,0,0,5832,0,-8.8900013,-4.6699982,7.3499985,3.4800014,-1.7200012,89.199997,-4.6000061,-6,-2.7999954,-4,93.800003
84.599998,14.91,1931,19,361,18.4,27.290001,31.959999,24.610001,0,0,6859,-4.5999985,-3.4899998,-8.8900013,-4.6699982,7.3499985,3.4800014,89.199997,0,-4.6000061,-6,-2.7999954,89.199997
81.699997,28.360001,1932,20,400,14.91,18.4,27.290001,31.959999,0,0,8000,-2.9000015,13.450001,-3.4899998,-8.8900013,-4.6699982,7.3499985,84.599998,-4.5999985,0,-4.6000061,-6,89.199997
76.300003,31.950001,1933,21,441,28.360001,14.91,18.4,27.290001,0,0,9261,-5.3999939,3.5900002,13.450001,-3.4899998,-8.8900013,-4.6699982,81.699997,-2.9000015,-4.5999985,0,-4.6000061,84.599998
78.5,33.91,1934,22,484,31.950001,28.360001,14.91,18.4,0,0,10648,2.1999969,1.9599991,3.5900002,13.450001,-3.4899998,-8.8900013,76.300003,-5.3999939,-2.9000015,-4.5999985,0,81.699997
77.199997,36.98,1935,23,529,33.91,31.950001,28.360001,14.91,0,0,12167,-1.3000031,3.0699997,1.9599991,3.5900002,13.450001,-3.4899998,78.5,2.1999969,-5.3999939,-2.9000015,-4.5999985,76.300003
75.800003,50.119999,1936,24,576,36.98,33.91,31.950001,28.360001,0,0,13824,-1.3999939,13.139999,3.0699997,1.9599991,3.5900002,13.450001,77.199997,-1.3000031,2.1999969,-5.3999939,-2.9000015,78.5
77.099998,42.790001,1937,25,625,50.119999,36.98,33.91,31.950001,0,0,15625,1.2999954,-7.329998,13.139999,3.0699997,1.9599991,3.5900002,75.800003,-1.3999939,-1.3000031,2.1999969,-5.3999939,77.199997
79.099998,32.220001,1938,26,676,42.790001,50.119999,36.98,33.91,0,0,17576,2,-10.57,-7.329998,13.139999,3.0699997,1.9599991,77.099998,1.2999954,-1.3999939,-1.3000031,2.1999969,75.800003
77.599998,36.529999,1939,27,729,32.220001,42.790001,50.119999,36.98,0,0,19683,-1.5,4.3099976,-10.57,-7.329998,13.139999,3.0699997,79.099998,2,1.2999954,-1.3999939,-1.3000031,77.099998
79.900002,53.330002,1940,28,784,36.529999,32.220001,42.790001,50.119999,0,0,21952,2.3000031,16.800003,4.3099976,-10.57,-7.329998,13.139999,77.599998,-1.5,2,1.2999954,-1.3999939,79.099998
83.400002,102.49,1941,29,841,53.330002,36.529999,32.220001,42.790001,0,1,24389,3.5,49.159996,16.800003,4.3099976,-10.57,-7.329998,79.900002,2.3000031,-1.5,2,1.2999954,77.599998
