age	soph	junior	senior	senior5	male	campus	business	engineer	colGPA	hsGPA	ACT	job19	job20	drive	bike	walk	voluntr	PC	greek	car	siblings	bgfriend	clubs	skipped	alcohol	gradMI	fathcoll	mothcoll
21	0	0	1	0	0	0	1	0	3	3	21	0	1	1	0	0	0	0	0	1	1	0	0	2	1	1	0	0
21	0	0	1	0	0	0	1	0	3.4000001	3.2	24	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1
20	0	1	0	0	0	0	1	0	3	3.5999999	26	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1
19	1	0	0	0	1	1	1	0	3.5	3.5	27	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
20	0	1	0	0	0	0	1	0	3.5999999	3.9000001	28	0	1	0	1	0	0	0	0	1	1	1	0	0	1.5	1	1	0
20	0	0	1	0	1	1	1	0	3	3.4000001	25	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
22	0	0	0	1	0	0	1	0	2.7	3.5	25	0	0	0	1	0	0	0	1	1	1	0	1	0	2	1	0	1
22	0	0	0	1	0	0	0	0	2.7	3	22	1	0	1	0	0	0	1	0	0	1	1	0	3	3	1	1	1
22	0	0	0	1	0	0	0	0	2.7	3	21	1	0	1	0	0	0	0	0	1	1	1	1	2	2.5	1	1	1
19	1	0	0	0	0	0	1	0	3.8	4	27	1	0	0	0	1	0	1	0	0	1	0	1	.5	.75	1	0	1
21	0	0	1	0	1	0	1	0	2.8	3	19	1	0	0	0	1	0	0	0	1	1	1	0	2	1	1	0	0
22	0	0	0	1	0	1	1	0	2.9000001	3.0999999	22	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1
21	0	0	1	0	0	1	1	0	3	3.5	23	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1
20	0	1	0	0	1	1	1	0	2.9000001	3.8	29	0	0	0	0	1	0	0	0	0	1	0	0	3	2.5	0	1	1
20	0	1	0	0	1	0	1	0	3.3	3.7	25	0	0	1	0	0	0	1	1	0	1	0	0	1	4	1	1	1
22	0	0	1	0	1	0	1	0	2.5999999	3	21	0	0	1	0	0	0	0	0	1	1	0	1	3	3.5	1	1	0
19	1	0	0	0	1	0	0	1	2.5	3.5	29	0	1	0	0	1	0	1	0	1	1	0	0	4	3	1	1	0
22	0	0	1	0	1	0	1	0	2.5	3	23	0	0	1	0	0	0	0	0	1	1	0	1	5	5	0	1	0
20	0	1	0	0	1	0	1	0	2.4000001	3	21	0	0	1	0	0	0	0	0	1	1	0	0	2	4	0	1	0
21	0	0	1	0	1	0	1	0	3.5999999	3.5	29	0	0	0	1	0	0	1	0	1	1	1	1	1	5	1	1	1
20	0	1	0	0	0	0	1	0	2.5999999	3.5	25	1	0	1	0	0	0	0	1	1	1	1	1	3	2	1	1	1
22	0	0	1	0	1	0	0	1	2.7	3	23	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1
20	0	1	0	0	0	0	1	0	2.9000001	3.5999999	27	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0
21	0	0	1	0	0	1	0	0	3	4	25	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0
20	0	1	0	0	1	0	1	0	3.3	3.5999999	33	0	0	0	1	0	1	0	1	0	1	1	0	2	5	1	1	0
20	0	1	0	0	0	0	1	0	3.0999999	3.3	24	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0
20	0	1	0	0	0	0	1	0	3	3.5999999	27	1	0	0	1	0	0	1	1	0	1	1	0	2	1	1	0	0
20	0	1	0	0	0	0	0	0	3.2	3.0999999	20	0	0	1	0	0	0	1	1	1	1	0	1	1	2	1	0	0
20	0	1	0	0	0	0	1	0	3	3.4000001	21	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	1	1
20	0	1	0	0	0	0	1	0	3.4000001	3.7	24	0	0	0	1	0	0	0	1	0	1	1	0	.5	2	1	1	1
21	0	1	0	0	1	0	1	0	2.9000001	3.7	20	0	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0
21	0	0	1	0	0	0	1	0	3.5	3.3	23	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1
22	0	0	1	0	1	0	1	0	3.7	3.3	22	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0
20	0	0	1	0	0	0	1	0	3.5	3.5	24	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1
21	0	0	1	0	1	0	1	0	2.8	3.2	28	0	1	0	1	0	0	0	0	1	1	1	1	1	3	1	1	1
21	0	0	1	0	0	1	1	0	2.5	3.3	25	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
21	0	0	1	0	0	0	1	0	3.0999999	3.4000001	23	0	0	1	0	0	0	1	1	1	1	1	0	.5	1	1	1	1
20	0	1	0	0	1	0	1	0	3.5	3.5	24	1	0	0	1	0	0	0	1	1	1	0	1	1	3	1	1	0
20	0	1	0	0	0	0	1	0	3.4000001	3.4000001	26	1	0	0	0	1	0	1	0	0	1	1	0	.5	0	1	1	1
21	0	0	1	0	0	0	1	0	3.5	3.7	23	1	0	0	1	0	0	1	1	0	1	0	1	0	2	1	0	1
21	0	0	1	0	1	0	1	0	2.5999999	2.5	26	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0
21	0	0	1	0	1	0	1	0	2.8	3.7	23	0	1	0	0	1	1	1	1	0	1	0	1	0	2	1	1	1
21	0	0	1	0	0	0	1	0	2.5999999	3	23	0	0	0	0	1	0	0	0	1	1	0	0	2	3	1	0	0
20	0	1	0	0	1	0	1	0	3.5	3	19	0	0	0	0	1	0	1	1	1	1	0	1	1	3	1	0	1
22	0	0	0	1	0	0	1	0	4	4	26	1	0	0	0	1	0	1	0	1	1	1	1	0	.5	1	1	1
20	0	1	0	0	0	0	1	0	3.8	3.8	26	0	0	0	0	1	0	1	0	1	0	1	1	1	3	1	1	1
19	0	1	0	0	1	0	1	0	2.8	3	21	0	0	0	0	1	0	1	1	1	1	0	0	4	2	1	1	1
21	0	0	1	0	0	0	1	0	3.5	3.7	24	1	0	0	0	1	1	0	1	1	1	1	1	1	2	1	0	0
21	0	0	1	0	0	0	1	0	3	3.4000001	24	1	0	0	0	1	0	0	1	1	0	0	0	2	1	1	1	1
21	0	0	1	0	1	0	1	0	2.5999999	2.4000001	24	1	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0
21	0	1	0	0	0	0	1	0	3	3.8	21	1	0	0	1	0	0	0	0	1	1	1	0	1	2	1	0	0
22	0	0	0	1	0	0	0	0	3.7	4	25	1	0	0	1	0	0	0	1	1	1	0	1	1	2	1	0	0
19	0	1	0	0	0	0	1	0	3	3.5	21	1	0	0	0	1	1	0	0	1	1	0	1	0	2	1	1	1
20	0	1	0	0	1	0	1	0	2.9000001	3.4000001	27	1	0	0	0	1	0	1	0	1	1	1	1	1	3	1	1	1
20	0	0	1	0	1	1	0	1	2.5999999	3.5999999	19	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0
22	0	0	0	1	1	0	1	0	3	3.2	27	0	0	1	0	0	0	0	0	1	1	0	0	2	5	1	1	1
