datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time,inf
1957:01,3.9333334,27.776667,2.96,3.0799999,3.4200001,279.30469,10149,1957q1,
1957:02,4.0999999,28.013334,3,3.29,3.6500001,279.02371,10904,1957q2,.85203755
1957:03,4.2333331,28.263334,3.47,3.53,4.0700002,278.50879,11231,1957q3,.89243215
1957:04,4.9333334,28.4,2.98,3.04,3.1800001,280.57959,11075,1957q4,.48354289
1958:01,6.3000002,28.736666,1.2,1.3,1.84,281.53979,10973,1958q1,1.185444
1958:02,7.3666668,28.93,.93000001,.82999998,1.23,281.11111,11325.3,1958q2,.67278016
1958:03,7.3333335,28.913334,1.76,2.4400001,3.05,280.3284,11734.1,1958q3,-.057609443
1958:04,6.3666668,28.943333,2.4200001,2.77,3.29,280.37991,12080.1,1958q4,.10375413
1959:01,5.8333335,28.993334,2.8,2.8,3.6099999,281.27081,12223,1959q1,.17275532
1959:02,5.0999999,29.043333,3.3900001,3.21,4.0700002,281.25369,12869,1959q2,.17245081
1959:03,5.2666669,29.193333,3.76,4.04,5,280.37039,13680,1959q3,.51646835
1959:04,5.5999999,29.370001,3.99,4.4899998,5.1399999,279.84451,13819,1959q4,.60516614
1960:01,5.1333332,29.396667,3.8399999,3.3099999,4.02,280.58569,15162,1960q1,.09079551
1960:02,5.2333331,29.573334,3.3199999,2.46,3.3599999,280.26761,15364,1960q2,.60097378
1960:03,5.5333333,29.59,2.5999999,2.48,3.0699999,281.27151,16239,1960q3,.056356218
1960:04,6.2666669,29.780001,1.98,2.25,2.8599999,280.73709,17026,1960q4,.64211065
1961:01,6.8000002,29.84,2.02,2.3900001,2.8800001,279.75,17959,1961q1,.20147571
1961:02,7,29.83,1.73,2.3299999,3.0599999,278.98001,18695,1961q2,-.033512831
1961:03,6.7666669,29.946667,1.88,2.28,3.0599999,281.22,19424,1961q3,.39110559
1961:04,6.1999998,29.99,2.3299999,2.5999999,3.1800001,280.95999,20900,1961q4,.14470075
1962:01,5.6333332,30.106667,2.8499999,2.72,3.0599999,281.52979,21428,1962q1,.38901898
1962:02,5.5333333,30.219999,2.6800001,2.73,3.03,280.83011,21769,1962q2,.3764374
1962:03,5.5666666,30.306667,2.9000001,2.78,3.0599999,280.09009,21907,1962q3,.28679025
1962:04,5.5333333,30.379999,2.9300001,2.8699999,3.01,280.33011,22412,1962q4,.24196601
1963:01,5.7666669,30.476667,2.98,2.8900001,3.03,280.06009,23150,1963q1,.31819698
1963:02,5.7333331,30.533333,2.99,2.99,3.2,280.01981,24488,1963q2,.18593051
1963:03,5.5,30.719999,3.48,3.3800001,3.5699999,279.76981,25571,1963q3,.61135316
1963:04,5.5666666,30.803333,3.3800001,3.52,3.8099999,279.64969,26867,1963q4,.27126944
1964:01,5.4666667,30.93,3.4300001,3.54,3.9100001,279.81009,27933,1964q1,.41121206
1964:02,5.1999998,30.98,3.5,3.48,3.8299999,279.41971,29237,1964q2,.16165288
1964:03,5,31.049999,3.45,3.53,3.8399999,278.34009,29905,1964q3,.22595124
1964:04,4.9666667,31.193333,3.8499999,3.8399999,4.02,279.06009,30721,1964q4,.46162137
1965:01,4.9000001,31.290001,4.04,3.9300001,4.0599999,279.23999,31699,1965q1,.30990034
1965:02,4.6666665,31.49,4.04,3.8,3.99,279.23001,32437,1965q2,.63917816
1965:03,4.3666668,31.583334,4.0100002,3.9200001,4.1999998,279.66971,33475,1965q3,.29639313
1965:04,4.0999999,31.75,4.3200002,4.3800001,4.7199998,280.20999,33558,1965q4,.52770245
1966:01,3.8666666,32.046665,4.6500001,4.5900002,4.9699998,279.51981,35539.199,1966q1,.93437856
1966:02,3.8333333,32.336666,5.1700001,4.5,4.9699998,278.98001,37753.5,1966q2,.90493321
1966:03,3.7666667,32.616665,5.4000001,5.3699999,5.8200002,278.92969,39148.699,1966q3,.86588633
1966:04,3.7,32.883335,5.4000001,4.96,5.1999998,279.0098,40025.602,1966q4,.81758887
1967:01,3.8333333,32.966667,4.5300002,4.2600002,4.3499999,279.6272,42074,1967q1,.25341731
1967:02,3.8333333,33.166668,3.98,3.54,4.48,279.11719,43295,1967q2,.60667568
1967:03,3.8,33.5,3.99,4.4200001,5.2399998,278.36938,45546,1967q3,1.0050212
1967:04,3.9000001,33.866665,4.5100002,4.9699998,5.71,240.62981,47540,1967q4,1.094522
1968:01,3.7333333,34.200001,5.0500002,5.1700001,5.5799999,239.9718,49302.602,1968q1,.98425955
1968:02,3.5666666,34.533333,6.0700002,5.52,5.98,238.46201,51317.602,1968q2,.97465515
1968:03,3.5333333,35,5.7800002,5.1900001,5.4499998,238.7395,53237.102,1968q3,1.3513528
1968:04,3.4000001,35.433334,6.02,5.96,6.1900001,238.4157,57507.602,1968q4,1.2380981
1969:01,3.4000001,35.866665,6.79,6.02,6.3400002,239.1671,57632,1969q1,1.2229459
1969:02,3.4333334,36.433334,8.8999996,6.4400001,7.04,238.95,60612.398,1969q2,1.5799335
1969:03,3.5666666,36.933334,9.1499996,7.0900002,7.8200002,238.39999,63086.898,1969q3,1.3723695
1969:04,3.5666666,37.5,8.9700003,7.8200002,8.1700001,239.73,66786,1969q4,1.5342932
1970:01,4.1666665,38.099998,7.7600002,6.6300001,6.9699998,240.58,69527,1970q1,1.599996
1970:02,4.7666669,38.633335,7.5999999,6.6799998,7.5500002,239.77,71738,1970q2,1.3998338
1970:03,5.1666665,39.033333,6.29,6.1199999,6.73,238.53,74777,1970q3,1.0353694
1970:04,5.8333335,39.599998,4.9000001,4.8699999,5,239.06,76524,1970q4,1.451748
1971:01,5.9333334,39.933334,3.71,3.3800001,3.6900001,241.87,77842,1971q1,.8417573
1971:02,5.9000001,40.299999,4.9099998,4.75,5.6399999,241.87,79555,1971q2,.91819251
1971:03,6.0333333,40.700001,5.5500002,4.6900001,5.4099998,246.94,81698,1971q3,.99255961
