datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time,inf,lpunew,inf_a,dinf,dinfa,infpct,dinfpct,dlhur,lhura,yq4,yr,lgdpj,dlgdpj
1957:01,3.9333334,27.776667,2.96,3.0799999,3.4200001,279.30469,10149,1957q1,,3.3241963,,,,,,,,0,57,9.2251301,
1957:02,4.0999999,28.013334,3,3.29,3.6500001,279.02371,10904,1957q2,.85203755,3.3326807,3.3937454,,,3.4081502,,.16666651,,0,57,9.2968845,28.701782
1957:03,4.2333331,28.263334,3.47,3.53,4.0700002,278.50879,11231,1957q3,.89243215,3.3415654,3.5538673,.16012192,,3.5697286,.16157842,.13333321,,0,57,9.3264332,11.819458
1957:04,4.9333334,28.4,2.98,3.04,3.1800001,280.57959,11075,1957q4,.48354289,3.3463891,1.9294739,-1.6243935,,1.9341716,-1.6355571,.70000029,4.3000002,1,57,9.3124456,-5.5950165
1958:01,6.3000002,28.736666,1.2,1.3,1.84,281.53979,10973,1958q1,1.185444,3.3581738,4.7139168,2.7844429,,4.741776,2.8076043,1.3666668,4.8916664,0,58,9.3031931,-3.7010193
1958:02,7.3666668,28.93,.93000001,.82999998,1.23,281.11111,11325.3,1958q2,.67278016,3.3648791,2.6821136,-2.0318031,,2.6911206,-2.0506554,1.0666666,5.7083335,0,58,9.334794,12.640381
1958:03,7.3333335,28.913334,1.76,2.4400001,3.05,280.3284,11734.1,1958q3,-.057609443,3.3643029,-.23050308,-2.9126167,,-.23043777,-2.9215584,-.033333302,6.4833336,0,58,9.3702545,14.184189
1958:04,6.3666668,28.943333,2.4200001,2.77,3.29,280.37991,12080.1,1958q4,.10375413,3.3653398,.41475296,.64525604,,.41501653,.64545429,-.9666667,6.8416667,1,58,9.3993149,11.624146
1959:01,5.8333335,28.993334,2.8,2.8,3.6099999,281.27081,12223,1959q1,.17275532,3.3670659,.69046021,.27570724,-2.5085449,.69102126,.27600473,-.5333333,6.7250004,0,59,9.4110746,4.7039032
1959:02,5.0999999,29.043333,3.3900001,3.21,4.0700002,281.25369,12869,1959q2,.17245081,3.368789,.68922043,-.0012397766,-2.8288603,.68980324,-.0012180209,-.73333359,6.1583333,0,59,9.4625769,20.600891
1959:03,5.2666669,29.193333,3.76,4.04,5,280.37039,13680,1959q3,.51646835,3.3739405,2.0606041,1.3713837,-1.3099909,2.0658734,1.3760701,.16666698,5.6416669,0,59,9.5236902,24.445343
1959:04,5.5999999,29.370001,3.99,4.4899998,5.1399999,279.84451,13819,1959q4,.60516614,3.3799739,2.4133682,.35276413,-.43165684,2.4206645,.35479116,.33333302,5.4499998,1,59,9.5338001,4.0439606
1960:01,5.1333332,29.396667,3.8399999,3.3099999,4.02,280.58569,15162,1960q1,.09079551,3.3808813,.36296844,-2.0503998,.49233437,.36318204,-2.0574825,-.4666667,5.2750001,0,60,9.6265478,37.099075
