date,KOSPI지수,KOSPI시장 거래대금,KOSDAQ지수,KOSDAQ시장 거래대금
2020/01/02,2175.17,45859,674.02,44765
2020/01/03,2176.46,56471,669.93,55401
2020/01/06,2155.07,51258,655.31,49619
2020/01/07,2175.54,50777,663.44,53022
2020/01/08,2151.31,86108,640.94,70344
2020/01/09,2186.45,70384,666.09,52618
2020/01/10,2206.39,63293,673.03,49137
2020/01/13,2229.26,61398,679.22,48432
2020/01/14,2238.88,71231,678.71,52058
2020/01/15,2230.98,58129,679.16,42335
2020/01/16,2248.05,60165,686.52,52394
2020/01/17,2250.57,52406,688.41,55443
2020/01/20,2262.64,58113,683.47,59162
2020/01/21,2239.69,54745,676.52,55695
2020/01/22,2267.25,61874,688.25,46310
2020/01/23,2246.13,66604,685.57,50092
2020/01/28,2176.72,86452,664.7,69911
2020/01/29,2185.28,64851,670.18,55736
2020/01/30,2148,70166,656.39,62284
2020/01/31,2119.01,71231,642.48,64589
2020/02/03,2118.88,79237,646.85,60816
2020/02/04,2157.9,76653,661.24,50740
2020/02/05,2165.63,74625,661.32,52668
2020/02/06,2227.94,80636,672.69,46094
2020/02/07,2211.95,69263,672.63,52327
2020/02/10,2201.07,53322,676.07,48298
2020/02/11,2223.12,64744,682.34,55163
2020/02/12,2238.38,67750,686.59,60460
2020/02/13,2232.96,79571,687.61,69938
2020/02/14,2243.59,61331,688.91,73516
2020/02/17,2242.17,55661,692.59,65247
2020/02/18,2208.88,63114,682.92,75096
2020/02/19,2210.34,69564,684.78,76299
2020/02/20,2195.5,75077,681.66,87991
2020/02/21,2162.84,67885,667.99,81347
2020/02/24,2079.04,91442,639.29,81784
2020/02/25,2103.61,87585,656.95,61891
2020/02/26,2076.77,78447,654.63,61373
2020/02/27,2054.89,70534,638.17,77160
2020/02/28,1987.01,96703,610.73,80204
2020/03/02,2002.51,75988,627.66,61539
2020/03/03,2014.15,85592,626.82,60536
2020/03/04,2059.33,77165,641.73,56600
2020/03/05,2085.26,78066,650.19,63977
2020/03/06,2040.22,70996,642.72,72389
2020/03/09,1954.77,87018,614.6,86834
2020/03/10,1962.93,89000,619.97,96333
2020/03/11,1908.27,80713,595.61,83550
2020/03/12,1834.33,111429,563.49,80495
2020/03/13,1771.44,131082,524,81520
2020/03/16,1714.86,84706,504.51,72194
2020/03/17,1672.44,95523,514.73,79933
2020/03/18,1591.2,93618,485.14,74102
2020/03/19,1457.64,117932,428.35,85752
2020/03/20,1566.15,104886,467.75,65040
2020/03/23,1482.46,94840,443.76,61637
2020/03/24,1609.97,103315,480.4,67423
2020/03/25,1704.76,124313,505.68,96866
2020/03/26,1686.24,122361,516.61,119029
2020/03/27,1717.73,127324,522.83,148453
2020/03/30,1717.12,89662,542.11,96106
2020/03/31,1754.64,136451,569.07,136720
2020/04/01,1685.46,119485,551.84,134620
2020/04/02,1724.86,95492,567.7,109921
2020/04/03,1725.44,100117,573.01,94535
2020/04/06,1791.88,107713,597.21,98766
2020/04/07,1823.6,113983,606.9,132763
2020/04/08,1807.14,109903,607.37,127637
2020/04/09,1836.21,103468,615.95,95520
2020/04/10,1860.7,118514,611.26,101536
2020/04/13,1825.76,94230,596.71,100970
2020/04/14,1857.08,98068,610.29,83573
2020/04/16,1857.07,105178,623.43,82172
2020/04/17,1914.53,139367,634.79,91153
2020/04/20,1898.36,117432,637.82,95323
2020/04/21,1879.38,136690,628.77,127314
2020/04/22,1896.15,92868,635.16,91853
2020/04/23,1914.73,88335,643.79,100917
2020/04/24,1889.01,95065,632.96,88479
2020/04/27,1922.77,80301,646.86,76978
2020/04/28,1934.09,102513,644.93,81795
2020/04/29,1947.56,104008,645.18,79672
2020/05/04,1895.37,101514,641.91,66958
2020/05/06,1928.76,84270,658.4,84915
2020/05/07,1928.61,72651,668.17,88318
2020/05/08,1945.82,78259,682.3,96220
2020/05/11,1935.4,76145,685.04,104479
2020/05/12,1922.17,95041,684.21,100347
2020/05/13,1940.42,87916,691.53,97170
2020/05/14,1924.96,93207,690.57,130512
2020/05/15,1927.28,95519,691.93,123940
2020/05/18,1937.11,92434,690.85,104975
2020/05/19,1980.61,117300,696.36,118733
2020/05/20,1989.64,80024,708.76,104758
2020/05/21,1998.31,85245,716.02,113369
2020/05/22,1970.13,93269,708.58,107912
2020/05/25,1994.6,78421,719.89,94602
2020/05/26,2029.78,123887,729.11,103444
2020/05/27,2031.2,124575,724.59,105777
2020/05/28,2028.54,142368,708.75,119124
2020/05/29,2029.6,137522,713.68,85030
2020/06/01,2065.08,95706,735.72,103256
2020/06/02,2087.19,100977,743.58,107330
2020/06/03,2147,168057,737.66,115591
2020/06/04,2151.18,160340,742.37,97744
2020/06/05,2181.87,125834,749.31,86562
2020/06/08,2184.29,129256,753.04,91205
2020/06/09,2188.92,145235,753.82,103431
2020/06/10,2195.69,126818,758.62,122133
2020/06/11,2176.78,166430,757.06,135085
2020/06/12,2132.3,147331,746.06,117006
2020/06/15,2030.82,180153,693.15,122606
2020/06/16,2138.05,134319,735.38,106692
2020/06/17,2141.05,152165,735.4,104253
2020/06/18,2133.48,108456,737.33,106059
2020/06/19,2141.32,120660,742.03,123656
2020/06/22,2126.73,98955,751.64,105115
2020/06/23,2131.24,133479,753.23,116826
2020/06/24,2161.51,126625,759.5,117630
2020/06/25,2112.37,105485,750.36,112128
2020/06/26,2134.65,93989,750.58,117879
2020/06/29,2093.48,88830,734.69,92787
2020/06/30,2108.33,115652,737.97,105287
2020/07/01,2106.7,100769,727.58,85633
2020/07/02,2135.37,104296,742.55,75395
2020/07/03,2152.41,84687,752.18,101476
2020/07/06,2187.93,115314,759.9,83048
2020/07/07,2164.17,146698,759.16,100834
2020/07/08,2158.88,114354,765.96,104475
2020/07/09,2167.9,117707,772.9,103878
2020/07/10,2150.25,119114,772.81,128574
2020/07/13,2186.06,103154,781.19,108527
2020/07/14,2183.61,114321,778.39,122799
2020/07/15,2201.88,133936,781.29,113075
2020/07/16,2183.76,110797,775.07,111534
2020/07/17,2201.19,100571,783.22,85830
2020/07/20,2198.2,118088,781.96,92796
2020/07/21,2228.83,155207,790.58,103417
2020/07/22,2228.66,153243,794.99,113762
2020/07/23,2216.19,161317,801.69,136614
2020/07/24,2200.44,168445,794.8,124726
2020/07/27,2217.86,140288,801.23,104267
2020/07/28,2256.99,171651,807.85,119681
2020/07/29,2263.16,152509,808.59,105949
2020/07/30,2267.01,133489,814.19,132711
2020/07/31,2249.37,127435,815.3,130589
2020/08/03,2251.04,134253,827.57,145130
2020/08/04,2279.97,150880,835.35,139402
2020/08/05,2311.86,176443,847.28,127447
2020/08/06,2342.61,175722,854.12,142204
2020/08/07,2351.67,173246,857.63,145750
2020/08/10,2386.38,192807,862.76,126260
2020/08/11,2418.67,194240,860.23,133430
2020/08/12,2432.35,164138,845.6,143577
2020/08/13,2437.53,180010,854.77,148687
2020/08/14,2407.49,163871,835.03,138426
2020/08/18,2348.24,173132,800.22,158618
2020/08/19,2360.54,120847,818.74,147605
2020/08/20,2274.22,168958,791.14,153940
2020/08/21,2304.59,139764,796.01,140789
2020/08/24,2329.83,115189,815.74,129976
2020/08/25,2366.73,134008,836.31,142419
2020/08/26,2369.32,142790,841.35,173704
2020/08/27,2344.45,149421,836.4,208487
2020/08/28,2353.8,153287,841.3,168009
2020/08/31,2326.17,190360,848.24,147375
2020/09/01,2349.55,160970,853.37,127348
2020/09/02,2364.27,155344,866.74,143431
2020/09/03,2395.9,171670,874.13,140260
2020/09/04,2368.25,194445,866.04,146681
2020/09/07,2384.22,168989,878.88,160146
2020/09/08,2401.91,170084,878.29,196447
2020/09/09,2375.81,152449,869.47,164315
2020/09/10,2396.48,155881,884.3,146512
2020/09/11,2396.69,118812,888.44,144004
2020/09/14,2427.91,118683,894.17,135282
2020/09/15,2443.58,116982,899.46,158369
2020/09/16,2435.92,115664,896.28,160040
2020/09/17,2406.17,138648,885.18,143169
2020/09/18,2412.4,137065,888.88,126745
2020/09/21,2389.39,140132,866.99,137453
2020/09/22,2332.59,174959,842.72,123187
2020/09/23,2333.24,133922,843.45,131230
2020/09/24,2272.7,122948,806.95,154629
