idcode	birth_yr87	age87	race87	grade87	not_smsa87	south87	ttl_exp87	tenure87	hours87	ln_wage87
1	51	35	2	12	0	0	8.98718	3.916667	45	2.536374
2	51	35	2	12	0	0	12.17949	3.75	40	1.84653
3	45	41	2	12	0	0	16.34615	.4166667	40	1.525765
4	45	41	1	17	0	0	12.03846	.3333333	42	1.919034
5										
6	46	40	1	12	0	0	16.41667	16.41667	40	2.007068
7	49	37	1	12	0	0	5.903846	.8333333	30	.4733421
9	51	35	1	12	0	0	17.58333	17.5	40	2.368899
10										
12	47	39	1	18	0	0	14.38461	12.83333	40	3.000736
13	47	39	1	14	0	0	12.76923	4	15	1.678877
14	47	39	1	15	0	0	6.057693	.8333333	36	2.143405
15	48	38	1	16	0	0	14.46154	7	24	2.813745
16	48	38	1	15	0	0	15.09615	12.5	40	2.64418
17	48	38	1	15	0	0	8.993589	3.333333	30	2.372024
18	48	38	1	15	0	0	6.333333	6.333333	40	1.629306
19	48	38	1	15	0	0	12.82692	4.166667	40	2.284871
20	48	38	1	15	0	0	14.51282	3.25	16	2.218913
21										
22	47	39	1	15	0	0	13.62821	1.5	32	2.007068
23	46	40	1	15	1	0	13.96154	6.666667	40	1.796486
24	46	40	1	14	0	0	15.12179	2	24	2.386735
25	46	41	1	14	0	0	16.57692	4.083333	40	2.266836
26	44	42	1	14	1	0	14.25	2.583333	30	1.901707
27										
29										
30										
33										
35										
36										
37										
38										
39	43	43	1	16	0	0	7.397436	6.5	40	2.266836
40										
41										
43										
44	47	40	1	18	0	0	14.83974	3.5	35	3.28513
45	52	34	1	12	0	0	15.83333	15.83333	38	2.315048
46	44	43	1	18	0	0	4.391026	1.583333	25	1.385458
47	52	34	1	12	0	0	7.410256	.4166667	40	1.69282
48	52	34	1	15	0	0	4.961538	.1666667	15	1.430455
49										
50										
51										
53										
54										
55										
56										
57	45	41	1	12	0	0	11.53846	5.833333	40	1.653599
58	44	42	1	13	1	0	11.42949	.3333333	24	1.94088
59										
60										
61										
62	50	36	1	10	1	0	6.038462	4.5	40	1.612777
63	44	42	1	15	0	0	9	2.083333	14	3.275891
64	50	36	1	12	0	0	6.26923	1.916667	20	1.325095
65										
66	48	38	1	13	0	0	10.03846	8.25	6	1.207312
67	47	39	1	15	1	0	9.826923	1.75	24	2.018242
68										
69										
70	52	35	1	13	1	0	14.66667	14.66667	38	2.723536
71	53	33	1	12	1	0	9.076923	1.083333	38	1.664737
72	52	34	1	12	0	0	8.788462	.4166667	40	1.958727
73	51	35	1	14	1	0	13.44231	0	40	2.848732
75	49	37	2	11	1	0	13.30769	9.333333	40	2.568788
76										
77										
78	47	39	1	12	0	0	14.88462	7.666667	35	2.74847
79										
80	42	44	1	14	0	0	4.314103	1.833333	13	2.187515
81										
82										
83	52	34	1	12	0	0	11.23718	0	14	1.430455
84										
85	50	37	1	11	0	0	4.846154	1	30	2.123602
86	44	42	1	17	0	0	16.09615	1	32	2.337099
87										
88										
89										
91										
92										
93										
94	45	41	2	10	0	0	3.24359	.4166667	40	1.212005
95										
96										
97										
98										
99										
100										
103	51	35	1	18	0	0	8.429487	3.333333	30	2.489633
104	47	39	1	17	0	0	8.48718	1.333333	18	1.179426
105										
106	49	37	2	12	0	1	16.08333	16.08333	40	2.346746
107										
108										
109	46	40	1	12	0	0	7.371795	7.333333	38	1.520296
110	42	44	1	12	0	0	5.23718	1.166667	20	1.430455
111										
112										
114										
115	51	36	2	12	0	0	10.25	3.5	40	1.859636
117										
118										
119										
120										
121	48	38	2	12	0	0	19.33333	19.33333	40	1.573689
122										
123										
124										
125										
126	48	38	2	12	0	0	18.25	18.25	38	2.398199
127										
128	52	35	1	12	0	0	17.66667	17.58333	40	2.084861
129	44	42	1	12	0	0	12.92308	8.75	38	2.091079
130	45	41	1	12	0	0	5.480769	.6666667	45	1.872629
131	47	39	1	12	0	0	10.99359	.0833333	40	1.612777
132										
133										
134	46	40	1	12	0	0	4.705128	0	25	1.698954
135										
136										
137	52	34	2	17	0	0	8.5	8.416667	40	2.42074
138	53	33	2	12	0	0	11.13462	.8333333	40	2.179982
139	44	42	2	9	0	0	7.083333	7.083333	40	1.653599
141	45	41	1	14	0	0	11.46795	.75	40	1.97742
142	45	41	1	18	0	0	13.90385	4.333333	35	2.623165
143	51	35	1	15	0	0	6.653846	.25	40	2.263364
144	44	42	1	10	0	1	12.96154	1	33	1.479245
145	51	35	1	11	0	0	17.58333	17.58333	35	2.614633
146	51	35	1	14	0	0	6.25	.5	38	1.83592
147	47	39	1	12	0	0	6.474359	1.666667	15	2.634628
149										
150										
151										
152	51	36	1	18	0	0	12.5	3.333333	50	2.233353
153	52	34	1	12	0	0	15.57051	15.41667	38	2.120597
156										
158	46	40	2	12	0	0	19	19	40	1.990071
159	51	35	1	11	0	0	15.91667	15.83333	37	2.257258
160										
161										
162										
163										
164										
165										
166										
167	50	36	1	13	1	1	15.63461	6.166667	10	1.83592
168	47	39	1	17	0	1	10.53205	2.416667	40	1.796486
169										
170										
171	45	41	1	14	0	0	15.94231	6.833333	38	2.792768
172	43	43	1	15	0	0	16.42949	2	35	2.123602
173	45	41	2	12	0	0	10.1218	2	40	1.298065
174	44	42	1	12	0	0	19.5	19.5	40	1.653599
175										
176	50	36	2	12	0	0	11.42308	2.083333	40	2.036954
177										
178	46	40	2	10	0	0	2.01282	.75	25	1.143012
180										
181										
182										
183	45	41	1	12	0	0	15.71795	11.83333	48	1.946865
184	46	40	1	12	0	0	12.38462	10.66667	40	2.123602
185										
186										
187										
188	46	40	1	12	0	0	11.84615	6.916667	40	2.241385
189										
190	52	34	1	16	0	0	11.34615	1.916667	40	2.849701
191										
192										
193										
194										
195	52	35	1	12	0	0	11.35897	.75	40	1.430455
196	47	39	1	12	0	0	15.45513	.3333333	25	1.430455
198										
199										
200	48	38	1	14	1	1	7.519231	2.083333	50	1.860938
201										
202										
203	46	40	1	11	0	1	17.6218	1.75	40	2.018242
204	50	36	2	10	0	0	4.211538	2.583333	38	1.481148
205										
206										
207	50	36	2	18	0	0	12.40385	.6666667	46	2.474963
208										
209										
210	50	36	2	11	0	0	15.00641	10.5	40	2.123602
211	48	38	2	11	0	0	14.66667	14.66667	38	1.886613
212										
213	44	42	1	10	0	0	15.46154	13	40	1.69282
214										
215	51	35	1	16	0	0	14.50641	2.333333	42	1.563236
216										
217										
218	52	34	1	12	1	0	8.711538	.6666667	38	1.430455
219	53	34	1	13	0	0	15.41667	7.5	40	1.815717
220										
221	47	39	1	16	0	0	7.871795	.4166667	35	1.860938
222	50	36	1	16	0	0	12.30128	4.916667	40	2.312568
223	50	36	1	16	0	0	14.6859	7.416667	38	2.398199
224	49	37	1	13	0	0	9.346154	3.166667	40	1.721631
225										
226	53	33	1	16	0	1	6.25	5.25	40	1.854415
227										
228										
229										
230	52	34	1	17	1	0	12.16667	5.666667	40	2.266836
231	45	41	1	16	0	0	9.128204	8.416667	35	2.81675
232										
233	52	34	1	16	1	0	12.5	12.5	38	1.839912
235										
236	52	35	1	18	0	0	8.673077	2.25	50	3.183127
237	51	35	1	17	0	0	10.67308	.3333333	40	1.931231
238										
239										
242	48	38	1	12	0	0	14.33974	6.333333	24	1.391714
243										
244										
245										
246										
247										
250	44	42	1	18	0	1	7.621795	2.416667	50	1.821145
251										
252	50	37	1	12	0	0	16.94231	13	40	1.886613
253	46	41	1	12	0	0	4.160256	.4166667	36	1.27263
254	49	37	1	12	0	1	14.98077	8.416667	40	2.233353
255	42	44	2	14	0	0	23.33333	23.33333	40	2.624378
256										
